"heightagegroups","SEX","name","prev_less18.5","prev_18.5to20","prev_20to25","prev_25to30","prev_30to35","prev_35to40","prev_over40","TOTPOP","Age group (IL3)","Age group (IL)","code.x","meanheight","sdheight","region"
"70-79",0,"Tunisia",0.0232320420490407,0.0343831117028285,0.203712843312335,0.265394096791832,0.252438890052144,0.145461081731397,0.0753779341289055,250.0475,"70-79","70-79",788,158.0381799,6.03470993031351,"AFRICA"
"70-79",0,"Turkey",0.00412570166902167,0.00480226269200964,0.0756015577860853,0.231729276172151,0.329274017338973,0.218127310692958,0.136339874250838,2071.758,"70-79","70-79",792,156.061037,6.46467060599112,"EUROPE"
"70-79",0,"Turkmenistan",0.0120422871942928,0.0224741629017421,0.168241813740211,0.346031772506669,0.268331099892473,0.138361583503432,0.0445172805816303,76.92,"70-79","70-79",795,159.3013278,5.89514822249162,"ASIA"
"70-79",0,"Uganda",0.238984709402349,0.146659755401587,0.356154667971814,0.174914705590795,0.0436164146667234,0.026201043716945,0.0134687035998801,246.786,"70-79","70-79",800,158.2794835,6.44557414400456,"AFRICA"
"70-79",0,"Ukraine",0.00578008115179425,0.0128976996278745,0.197980014302817,0.305082499575729,0.301073962186983,0.118041093095175,0.0591446504219492,1931.6805,"70-79","70-79",804,165.1798837,6.53503827682888,"EUROPE"
"70-79",0,"United Arab Emirates",0.0103690247975637,0.0150965343284607,0.162129833862237,0.260827568142414,0.289748749156146,0.164693057456035,0.0971352315530454,33.8625,"70-79","70-79",784,158.3975787,6.29889169817741,"ASIA"
"70-79",0,"United Kingdom",0.0125552932856778,0.0277362910529889,0.257733821526624,0.361073763121361,0.213269637901027,0.0873824148469843,0.0402487788127306,3156.6695,"70-79","70-79",826,162.7115217,6.49820590157708,"EUROPE"
"70-79",0,"United Republic of Tanzania",0.19530936996626,0.127775252258786,0.348847362976629,0.1982274646743,0.0876581986746407,0.0212051498066596,0.0209772014071869,522.281,"70-79","70-79",834,156.2557355,6.44557414400456,"AFRICA"
"70-79",0,"United States of America",0.0149882341744627,0.0240799628031354,0.189384122707343,0.314562466924002,0.236422194506818,0.129912967261,0.0906500510460799,13910.6585,"70-79","70-79",840,162.9542244,6.95217977774455,"NORTHERN AM."
"70-79",0,"Uruguay",0.0109125680936283,0.0160584986498751,0.180424419646695,0.313953030560048,0.258147155749957,0.136635655002529,0.0838686728373179,128.914,"70-79","70-79",858,158.9734888,6.30024048923408,"LATIN AM. CARIBBEAN"
"70-79",0,"Uzbekistan",0.00577733089440771,0.0104490731796879,0.107985556696778,0.259174071800587,0.356491562888758,0.18434279919363,0.0757796050468076,457.7465,"70-79","70-79",860,159.0023148,5.89514822249162,"ASIA"
"70-79",0,"Vanuatu",0.0891423424524317,0.0442201913964348,0.336295302254408,0.295597484517923,0.137702024126913,0.0591229236029839,0.0379197316489053,2.5805,"70-79","70-79",548,157.0313624,6.74416380088281,"OCEANIA"
"70-79",0,"Venezuela (Bolivarian Republic of)",0.041871577209694,0.043671156598973,0.327852136538868,0.357764939812277,0.163835741600096,0.0491383296221205,0.0158661196179711,653.0945,"70-79","70-79",862,155.9097396,6.30024048923408,"LATIN AM. CARIBBEAN"
"70-79",0,"Viet Nam",0.101167874807106,0.0856462895840732,0.529315966371609,0.244158206323151,0.0374410751869021,0.00192126354796271,0.000348896917345762,2025.365,"70-79","70-79",704,153.0339302,5.7323433654234,"ASIA"
"70-79",0,"Yemen",0.137596270090219,0.0881279055712494,0.363144932162711,0.220437243846717,0.130581779368929,0.0411587741737183,0.0189530942060621,253.511,"70-79","70-79",887,152.9234923,6.29889169817741,"ASIA"
"70-79",0,"Zambia",0.0991357455148259,0.10345605067333,0.396829669102818,0.217149305810618,0.130418105694874,0.0383279389048227,0.01468318465481,98.679,"70-79","70-79",894,158.0095235,6.44557414400456,"AFRICA"
"70-79",0,"Zimbabwe",0.0728920201644911,0.0726859615956959,0.430886517197366,0.238209927834676,0.110732798692493,0.0501271276283965,0.0244656468868817,154.829,"70-79","70-79",716,159.4174314,6.44557414400456,"AFRICA"
"70-79",1,"Afghanistan",0.0627966686393635,0.0574090463822144,0.505527193002329,0.240830914893356,0.103657566104403,0.0194193576086771,0.010359253369656,184.562,"70-79","70-79",4,165.2747855,6.58828605597937,"ASIA"
"70-79",1,"Albania",0.00409869908495938,0.0110080866793177,0.17974108356524,0.511470946768366,0.251209970261212,0.0358770535142677,0.00659416012663663,92.19,"70-79","70-79",8,173.2880786,7.07072430580136,"EUROPE"
"70-79",1,"Algeria",0.0330010126482341,0.0480906754331734,0.34880309974443,0.415824314257401,0.117560598629739,0.0265599227955958,0.0101603764914262,589.3875,"70-79","70-79",12,170.4355438,6.83892238619083,"AFRICA"
"70-79",1,"Angola",0.155137027271261,0.199039593049576,0.433071680014403,0.140330127717329,0.0474746106624168,0.0211961827099702,0.00375077857504381,188.5805,"70-79","70-79",24,166.6905911,7.99371486506933,"AFRICA"
"70-79",1,"Argentina",0.00450113410289175,0.00928047148405898,0.155150444893225,0.415006572548529,0.298687231333015,0.0938984533337382,0.0234756923045423,1061.95,"70-79","70-79",32,172.1272772,6.89535500236034,"LATIN AM. CARIBBEAN"
"70-79",1,"Armenia",0.0238730227505054,0.0375040792695048,0.293909595621343,0.33723371089405,0.220156423303993,0.0482456731264592,0.0390774950341451,53.063,"70-79","70-79",51,170.6876435,6.96453883380203,"ASIA"
"70-79",1,"Australia",0.00372029740827925,0.00625118831473762,0.17954138231103,0.426299030781129,0.266768516480853,0.0847597452552566,0.0326598394487147,977.96,"70-79","70-79",36,177.0762304,7.15905958664422,"OCEANIA"
"70-79",1,"Austria",0.00379560458293108,0.00591711315131966,0.281899590874251,0.466620817786707,0.197831759594875,0.0363337341143693,0.00760137989554668,338.7135,"70-79","70-79",40,177.4386699,7.07072430580136,"EUROPE"
"70-79",1,"Azerbaijan",0.0097273320392545,0.0229977481768551,0.215626200569376,0.378791697705578,0.274600826913497,0.0769662689803153,0.0212899256151236,120.0545,"70-79","70-79",31,171.5467562,6.96453883380203,"ASIA"
"70-79",1,"Bahamas",0.0418912412346891,0.0347088660187234,0.213801545655111,0.370578051917718,0.216602820297545,0.0653335698424897,0.0570839050337244,8.658,"70-79","70-79",44,170.3268598,7.26327154197141,"LATIN AM. CARIBBEAN"
"70-79",1,"Bahrain",0.0252384627921189,0.0256325434273607,0.293376520312697,0.343017317049787,0.211029609347709,0.0775141458034347,0.0241914012668927,10.4995,"70-79","70-79",48,168.2513128,7.06617179126427,"ASIA"
"70-79",1,"Bangladesh",0.272095907810472,0.17140574759957,0.431689489115996,0.108445946571546,0.0113929705005198,0.00396491760682869,0.00100502079506846,2281.534,"70-79","70-79",50,162.5593133,6.7160220412138,"ASIA"
"70-79",1,"Barbados",0.0349039840169756,0.0440156526916832,0.381462614922517,0.337538366892977,0.120309327793087,0.0583561631217271,0.0234138905610341,8.704,"70-79","70-79",52,173.2345259,7.26327154197141,"LATIN AM. CARIBBEAN"
"70-79",1,"Belarus",0.00468405007255135,0.0113529861266741,0.169143666892983,0.509710955076003,0.258705153815161,0.0346876275208919,0.0117155604957357,211.7805,"70-79","70-79",112,175.6051274,7.12654315285439,"EUROPE"
"70-79",1,"Belgium",0.00439691191146267,0.00515755535615447,0.205758720320484,0.509400751250007,0.197613036322535,0.0634425418237126,0.0142304830156437,463.194,"70-79","70-79",56,175.6307411,7.07072430580136,"EUROPE"
"70-79",1,"Belize",0.0292554841926299,0.0437546634780107,0.307073246519293,0.359862289723023,0.174636498376857,0.0606550960242611,0.0247627216859256,3.9745,"70-79","70-79",84,167.5387467,7.48345713927981,"LATIN AM. CARIBBEAN"
"70-79",1,"Benin",0.20610201701142,0.120850298108738,0.459665322060094,0.131675850415206,0.0623062323074557,0.0162370684534634,0.00316321164362336,85.82,"70-79","70-79",204,169.7585068,7.71292088884482,"AFRICA"
"70-79",1,"Bhutan",0.0399071943500941,0.0467125717615974,0.515707901020032,0.301284568836431,0.076802783555608,0.0160526333335536,0.00353234714268384,10.811,"70-79","70-79",64,162.4687236,6.7160220412138,"ASIA"
"70-79",1,"Bolivia",0.0251335775773669,0.0327128526881502,0.405561910826762,0.357821597066944,0.123737226744078,0.0427989343707453,0.0122339007259537,133.078,"70-79","70-79",68,164.300956,6.89535500236034,"LATIN AM. CARIBBEAN"
"70-79",1,"Bosnia and Herzegovina",0.00481929632515149,0.0110098757234433,0.2475470691914,0.442976575057,0.237036390137434,0.0418693193166566,0.014741474248914,111.0495,"70-79","70-79",70,179.7406373,7.07072430580136,"EUROPE"
"70-79",1,"Botswana",0.177022379925766,0.126532282931504,0.4061861969362,0.196605951694477,0.0571319961934571,0.0270354932983922,0.00948569902020354,18.4735,"70-79","70-79",72,172.5508109,8.53763687171231,"AFRICA"
"70-79",1,"Brazil",0.0226214368331269,0.0293649999176408,0.305613241942884,0.414172206522804,0.18116395624546,0.0355854094931999,0.0114787490448845,4250.7455,"70-79","70-79",76,171.1398738,6.89535500236034,"LATIN AM. CARIBBEAN"
"70-79",1,"Brunei Darussalam",0.0432602036215825,0.0331261401310391,0.297609441344716,0.413896748573314,0.170182294733319,0.0359619419479944,0.00596322964803494,5.588,"70-79","70-79",96,161.9475015,6.19999942733342,"ASIA"
"70-79",1,"Bulgaria",0.00688146987820507,0.00885992518400489,0.284519908630506,0.417466768012128,0.215663721739305,0.0555648210485764,0.0110433855072736,281.604,"70-79","70-79",100,173.3520326,7.12654315285439,"EUROPE"
"70-79",1,"Burkina Faso",0.211801157658999,0.203121045505001,0.425374734662062,0.119484323724677,0.0305288235910385,0.0083671054133853,0.00132280944483793,107.1945,"70-79","70-79",854,173.771478,7.71292088884482,"AFRICA"
"70-79",1,"Burundi",0.18143378419911,0.152419661843511,0.411687628524586,0.185115895726905,0.0482720070865229,0.0150234930459247,0.00604752957344044,63.2425,"70-79","70-79",108,166.6578414,7.21396479688026,"AFRICA"
"70-79",1,"Cambodia",0.185259743141652,0.16570702128629,0.439965182611073,0.185119250478366,0.0223581151446287,0.00112490260583503,0.00046578473215612,174.6125,"70-79","70-79",116,161.5261873,6.19999942733342,"ASIA"
"70-79",1,"Cameroon",0.104949905797437,0.125515538082486,0.427820656400222,0.218878753875581,0.0996203508942315,0.0213266847213816,0.00188811022865958,151.9925,"70-79","70-79",120,171.5723943,7.99371486506933,"AFRICA"
"70-79",1,"Canada",0.00659742496304777,0.00848916655085946,0.203060366062321,0.471001997111293,0.234749354247376,0.0542286711417801,0.0218730199233229,1542.444,"70-79","70-79",124,176.6666387,7.71557227599642,"NORTHERN AM."
"70-79",1,"Cape Verde",0.0736275698061055,0.0819503504682957,0.370262460111857,0.361059122817899,0.0866715624449605,0.0222380418978635,0.00419089245301917,5.517,"70-79","70-79",132,176.0723624,7.71292088884482,"AFRICA"
"70-79",1,"Central African Republic",0.311474633789243,0.145758629516464,0.36299594453297,0.120676027998327,0.0390353678520939,0.00971545849480171,0.010343937816101,20.408,"70-79","70-79",140,168.3967981,7.99371486506933,"AFRICA"
"70-79",1,"Chad",0.156111033386284,0.136550472334403,0.416513106070693,0.195946473441742,0.0704455200749022,0.0179179683139904,0.00651542637798505,74.7505,"70-79","70-79",148,172.7714773,7.99371486506933,"AFRICA"
"70-79",1,"Chile",0.00467965272478634,0.0107196453972272,0.195082764281949,0.472440265050128,0.257413531538948,0.0380344708809496,0.0216296701260116,521.8625,"70-79","70-79",152,169.2633429,6.89535500236034,"LATIN AM. CARIBBEAN"
"70-79",1,"China",0.0444182520465385,0.0672214007825124,0.550233344131296,0.297688495916122,0.0340564998995947,0.00319232893947666,0.00318967828445999,39492.617,"70-79","70-79",156,167.6281337,6.89860062284155,"ASIA"
"70-79",1,"Colombia",0.0217194026596352,0.0340364921801701,0.333157880606157,0.448036684465643,0.131840144169472,0.0245623083574722,0.00664708756145077,943.654,"70-79","70-79",170,167.3967596,6.97421788256507,"LATIN AM. CARIBBEAN"
"70-79",1,"Comoros",0.117260339908995,0.0776864524440414,0.444075276609593,0.284236989100684,0.0566269268312053,0.0148712977977488,0.00524271730773292,8.2905,"70-79","70-79",174,166.842615,7.21396479688026,"AFRICA"
"70-79",1,"Congo",0.158714743468631,0.190930146418432,0.477723570534206,0.118737017138092,0.0381725773803905,0.0130782335411494,0.00264371151909941,33.45,"70-79","70-79",178,169.1913772,7.99371486506933,"AFRICA"
"70-79",1,"Costa Rica",0.0157156686475892,0.0329436698492052,0.371173294173292,0.399840674051371,0.132268471310755,0.0250825572086734,0.0229756647591135,116.9105,"70-79","70-79",188,168.2830749,7.48345713927981,"LATIN AM. CARIBBEAN"
"70-79",1,"Croatia",0.00469575509486276,0.00802262235926843,0.180892334479259,0.415111227575356,0.284992487866009,0.0825109874209416,0.0237745852043029,157.689,"70-79","70-79",191,177.5982134,7.07072430580136,"EUROPE"
"70-79",1,"Cuba",0.0526860728267548,0.0387987667023286,0.370085903528036,0.349581409319452,0.125244129216157,0.0408784168838539,0.0227253015234184,360.5825,"70-79","70-79",192,169.0887746,7.26327154197141,"LATIN AM. CARIBBEAN"
"70-79",1,"Cyprus",0.00380606912757147,0.00727645804013698,0.203378507327849,0.430154913967129,0.263849807421809,0.0743355736179623,0.0171986704975423,39.6855,"70-79","70-79",196,169.6219135,6.96453883380203,"EUROPE"
